date,center_id,center_name,open_vial_doses_wasted,expired_doses_wasted,total_doses_wasted,doses_drawn_from_vials,wastage_rate
2021-06-17,MLD-02,Sabashahr Health Center,8,0,8,121,0.0661
2021-06-17,MLD-03,Vahedieh Health Center,6,0,6,107,0.0561
2021-06-17,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,107,0.0654
2021-06-17,MLD-05,Chelab Rural Vaccination Center,7,0,7,67,0.1045
2021-06-18,MLD-01,Malard Central Health Center,5,0,5,60,0.0833
2021-06-18,MLD-02,Sabashahr Health Center,6,0,6,60,0.1
2021-06-18,MLD-03,Vahedieh Health Center,4,0,4,42,0.0952
2021-06-18,MLD-04,Sadeghieh-e Malard Vaccination Center,5,0,5,44,0.1136
2021-06-18,MLD-05,Chelab Rural Vaccination Center,4,0,4,32,0.125
2021-06-19,MLD-01,Malard Central Health Center,19,0,19,205,0.0927
2021-06-19,MLD-02,Sabashahr Health Center,11,0,11,138,0.0797
2021-06-19,MLD-03,Vahedieh Health Center,13,0,13,126,0.1032
2021-06-19,MLD-04,Sadeghieh-e Malard Vaccination Center,8,0,8,103,0.0777
2021-06-19,MLD-05,Chelab Rural Vaccination Center,8,0,8,98,0.0816
2021-06-20,MLD-01,Malard Central Health Center,20,0,20,188,0.1064
2021-06-20,MLD-02,Sabashahr Health Center,13,0,13,136,0.0956
2021-06-20,MLD-03,Vahedieh Health Center,10,0,10,138,0.0725
2021-06-20,MLD-04,Sadeghieh-e Malard Vaccination Center,15,0,15,131,0.1145
2021-06-20,MLD-05,Chelab Rural Vaccination Center,8,0,8,95,0.0842
2021-06-21,MLD-01,Malard Central Health Center,17,0,17,175,0.0971
2021-06-21,MLD-02,Sabashahr Health Center,10,0,10,151,0.0662
2021-06-21,MLD-03,Vahedieh Health Center,15,0,15,141,0.1064
2021-06-21,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,136,0.0662
2021-06-21,MLD-05,Chelab Rural Vaccination Center,6,0,6,84,0.0714
2021-06-22,MLD-01,Malard Central Health Center,15,0,15,166,0.0904
2021-06-22,MLD-02,Sabashahr Health Center,15,0,15,138,0.1087
2021-06-22,MLD-03,Vahedieh Health Center,12,0,12,141,0.0851
2021-06-22,MLD-04,Sadeghieh-e Malard Vaccination Center,17,0,17,149,0.1141
2021-06-22,MLD-05,Chelab Rural Vaccination Center,8,0,8,104,0.0769
2021-06-23,MLD-01,Malard Central Health Center,13,0,13,189,0.0688
2021-06-23,MLD-02,Sabashahr Health Center,8,0,8,147,0.0544
2021-06-23,MLD-03,Vahedieh Health Center,8,0,8,139,0.0576
2021-06-23,MLD-04,Sadeghieh-e Malard Vaccination Center,13,0,13,137,0.0949
2021-06-23,MLD-05,Chelab Rural Vaccination Center,5,0,5,73,0.0685
2021-06-24,MLD-01,Malard Central Health Center,16,0,16,166,0.0964
2021-06-24,MLD-02,Sabashahr Health Center,9,0,9,124,0.0726
2021-06-24,MLD-03,Vahedieh Health Center,14,0,14,121,0.1157
2021-06-24,MLD-04,Sadeghieh-e Malard Vaccination Center,6,0,6,106,0.0566
2021-06-24,MLD-05,Chelab Rural Vaccination Center,7,0,7,82,0.0854
2021-06-25,MLD-01,Malard Central Health Center,5,0,5,66,0.0758
2021-06-25,MLD-02,Sabashahr Health Center,4,0,4,56,0.0714
2021-06-25,MLD-03,Vahedieh Health Center,4,0,4,45,0.0889
2021-06-25,MLD-04,Sadeghieh-e Malard Vaccination Center,4,0,4,45,0.0889
2021-06-25,MLD-05,Chelab Rural Vaccination Center,4,0,4,34,0.1176
2021-06-26,MLD-01,Malard Central Health Center,10,0,10,179,0.0559
2021-06-26,MLD-02,Sabashahr Health Center,17,0,17,162,0.1049
2021-06-26,MLD-03,Vahedieh Health Center,7,0,7,124,0.0565
2021-06-26,MLD-04,Sadeghieh-e Malard Vaccination Center,13,0,13,135,0.0963
2021-06-26,MLD-05,Chelab Rural Vaccination Center,7,0,7,98,0.0714
2021-06-27,MLD-01,Malard Central Health Center,10,0,10,178,0.0562
2021-06-27,MLD-02,Sabashahr Health Center,11,0,11,135,0.0815
2021-06-27,MLD-03,Vahedieh Health Center,13,0,13,141,0.0922
2021-06-27,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,146,0.0753
2021-06-27,MLD-05,Chelab Rural Vaccination Center,9,0,9,94,0.0957
2021-06-28,MLD-01,Malard Central Health Center,24,0,24,203,0.1182
2021-06-28,MLD-02,Sabashahr Health Center,11,0,11,164,0.0671
2021-06-28,MLD-03,Vahedieh Health Center,13,0,13,134,0.097
2021-06-28,MLD-04,Sadeghieh-e Malard Vaccination Center,13,0,13,124,0.1048
2021-06-28,MLD-05,Chelab Rural Vaccination Center,6,0,6,88,0.0682
2021-06-29,MLD-01,Malard Central Health Center,13,0,13,192,0.0677
2021-06-29,MLD-02,Sabashahr Health Center,11,0,11,164,0.0671
2021-06-29,MLD-03,Vahedieh Health Center,9,0,9,134,0.0672
2021-06-29,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,118,0.0763
2021-06-29,MLD-05,Chelab Rural Vaccination Center,12,0,12,100,0.12
2021-06-30,MLD-01,Malard Central Health Center,17,0,17,189,0.0899
2021-06-30,MLD-02,Sabashahr Health Center,16,33,49,203,0.2414
2021-06-30,MLD-03,Vahedieh Health Center,4,0,4,132,0.0303
2021-06-30,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,119,0.0756
2021-06-30,MLD-05,Chelab Rural Vaccination Center,8,0,8,101,0.0792
2021-07-01,MLD-01,Malard Central Health Center,22,0,22,175,0.1257
2021-07-01,MLD-02,Sabashahr Health Center,10,0,10,145,0.069
2021-07-01,MLD-03,Vahedieh Health Center,8,0,8,108,0.0741
2021-07-01,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,106,0.1132
2021-07-01,MLD-05,Chelab Rural Vaccination Center,8,0,8,85,0.0941
2021-07-02,MLD-01,Malard Central Health Center,5,0,5,61,0.082
2021-07-02,MLD-02,Sabashahr Health Center,8,0,8,62,0.129
2021-07-02,MLD-03,Vahedieh Health Center,4,0,4,50,0.08
2021-07-02,MLD-04,Sadeghieh-e Malard Vaccination Center,6,0,6,50,0.12
2021-07-02,MLD-05,Chelab Rural Vaccination Center,4,0,4,41,0.0976
2021-07-03,MLD-01,Malard Central Health Center,10,0,10,210,0.0476
2021-07-03,MLD-02,Sabashahr Health Center,10,0,10,145,0.069
2021-07-03,MLD-03,Vahedieh Health Center,11,0,11,144,0.0764
2021-07-03,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,146,0.0753
2021-07-03,MLD-05,Chelab Rural Vaccination Center,9,0,9,107,0.0841
2021-07-04,MLD-01,Malard Central Health Center,25,0,25,221,0.1131
2021-07-04,MLD-02,Sabashahr Health Center,16,0,16,183,0.0874
2021-07-04,MLD-03,Vahedieh Health Center,8,0,8,167,0.0479
2021-07-04,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,129,0.093
2021-07-04,MLD-05,Chelab Rural Vaccination Center,7,0,7,97,0.0722
2021-07-05,MLD-01,Malard Central Health Center,17,0,17,233,0.073
2021-07-05,MLD-02,Sabashahr Health Center,5,0,5,166,0.0301
2021-07-05,MLD-03,Vahedieh Health Center,12,0,12,142,0.0845
2021-07-05,MLD-04,Sadeghieh-e Malard Vaccination Center,15,0,15,157,0.0955
2021-07-05,MLD-05,Chelab Rural Vaccination Center,6,0,6,110,0.0545
2021-07-06,MLD-01,Malard Central Health Center,13,0,13,240,0.0542
2021-07-06,MLD-02,Sabashahr Health Center,13,0,13,197,0.066
2021-07-06,MLD-03,Vahedieh Health Center,10,0,10,162,0.0617
2021-07-06,MLD-04,Sadeghieh-e Malard Vaccination Center,14,0,14,141,0.0993
2021-07-06,MLD-05,Chelab Rural Vaccination Center,9,0,9,101,0.0891
2021-07-07,MLD-01,Malard Central Health Center,18,0,18,235,0.0766
2021-07-07,MLD-02,Sabashahr Health Center,9,0,9,183,0.0492
2021-07-07,MLD-03,Vahedieh Health Center,14,0,14,179,0.0782
2021-07-07,MLD-04,Sadeghieh-e Malard Vaccination Center,19,0,19,166,0.1145
2021-07-07,MLD-05,Chelab Rural Vaccination Center,8,0,8,110,0.0727
2021-07-08,MLD-01,Malard Central Health Center,7,0,7,192,0.0365
2021-07-08,MLD-02,Sabashahr Health Center,13,0,13,164,0.0793
2021-07-08,MLD-03,Vahedieh Health Center,10,0,10,138,0.0725
2021-07-08,MLD-04,Sadeghieh-e Malard Vaccination Center,7,0,7,141,0.0496
2021-07-08,MLD-05,Chelab Rural Vaccination Center,10,0,10,116,0.0862
2021-07-09,MLD-01,Malard Central Health Center,8,0,8,85,0.0941
2021-07-09,MLD-02,Sabashahr Health Center,8,0,8,73,0.1096
2021-07-09,MLD-03,Vahedieh Health Center,6,0,6,61,0.0984
2021-07-09,MLD-04,Sadeghieh-e Malard Vaccination Center,10,0,10,65,0.1538
2021-07-09,MLD-05,Chelab Rural Vaccination Center,5,0,5,47,0.1064
2021-07-10,MLD-01,Malard Central Health Center,18,0,18,243,0.0741
2021-07-10,MLD-02,Sabashahr Health Center,13,0,13,201,0.0647
2021-07-10,MLD-03,Vahedieh Health Center,13,0,13,182,0.0714
2021-07-10,MLD-04,Sadeghieh-e Malard Vaccination Center,9,0,9,164,0.0549
2021-07-10,MLD-05,Chelab Rural Vaccination Center,12,0,12,134,0.0896
2021-07-11,MLD-01,Malard Central Health Center,19,0,19,268,0.0709
2021-07-11,MLD-02,Sabashahr Health Center,25,0,25,211,0.1185
2021-07-11,MLD-03,Vahedieh Health Center,12,0,12,160,0.075
2021-07-11,MLD-04,Sadeghieh-e Malard Vaccination Center,10,0,10,178,0.0562
2021-07-11,MLD-05,Chelab Rural Vaccination Center,10,0,10,136,0.0735
2021-07-12,MLD-01,Malard Central Health Center,17,0,17,278,0.0612
2021-07-12,MLD-02,Sabashahr Health Center,17,0,17,219,0.0776
2021-07-12,MLD-03,Vahedieh Health Center,19,0,19,201,0.0945
2021-07-12,MLD-04,Sadeghieh-e Malard Vaccination Center,15,0,15,171,0.0877
2021-07-12,MLD-05,Chelab Rural Vaccination Center,7,0,7,122,0.0574
2021-07-13,MLD-01,Malard Central Health Center,24,0,24,264,0.0909
2021-07-13,MLD-02,Sabashahr Health Center,13,0,13,220,0.0591
2021-07-13,MLD-03,Vahedieh Health Center,15,0,15,203,0.0739
2021-07-13,MLD-04,Sadeghieh-e Malard Vaccination Center,16,0,16,208,0.0769
2021-07-13,MLD-05,Chelab Rural Vaccination Center,12,0,12,133,0.0902
2021-07-14,MLD-01,Malard Central Health Center,25,0,25,292,0.0856
2021-07-14,MLD-02,Sabashahr Health Center,15,0,15,225,0.0667
2021-07-14,MLD-03,Vahedieh Health Center,14,0,14,210,0.0667
2021-07-14,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,187,0.0642
2021-07-14,MLD-05,Chelab Rural Vaccination Center,7,0,7,129,0.0543
2021-07-15,MLD-01,Malard Central Health Center,20,0,20,240,0.0833
2021-07-15,MLD-02,Sabashahr Health Center,19,0,19,200,0.095
2021-07-15,MLD-03,Vahedieh Health Center,17,0,17,178,0.0955
2021-07-15,MLD-04,Sadeghieh-e Malard Vaccination Center,15,0,15,181,0.0829
2021-07-15,MLD-05,Chelab Rural Vaccination Center,10,0,10,125,0.08
2021-07-16,MLD-01,Malard Central Health Center,10,0,10,103,0.0971
2021-07-16,MLD-02,Sabashahr Health Center,7,0,7,85,0.0824
2021-07-16,MLD-03,Vahedieh Health Center,8,0,8,75,0.1067
2021-07-16,MLD-04,Sadeghieh-e Malard Vaccination Center,5,0,5,71,0.0704
2021-07-16,MLD-05,Chelab Rural Vaccination Center,3,0,3,50,0.06
2021-07-17,MLD-01,Malard Central Health Center,21,0,21,250,0.084
2021-07-17,MLD-02,Sabashahr Health Center,19,0,19,270,0.0704
2021-07-17,MLD-03,Vahedieh Health Center,22,0,22,237,0.0928
2021-07-17,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,212,0.0519
2021-07-17,MLD-05,Chelab Rural Vaccination Center,12,0,12,146,0.0822
2021-07-18,MLD-01,Malard Central Health Center,31,0,31,294,0.1054
2021-07-18,MLD-02,Sabashahr Health Center,16,0,16,262,0.0611
2021-07-18,MLD-03,Vahedieh Health Center,15,0,15,200,0.075
2021-07-18,MLD-04,Sadeghieh-e Malard Vaccination Center,14,0,14,227,0.0617
2021-07-18,MLD-05,Chelab Rural Vaccination Center,8,0,8,143,0.0559
2021-07-19,MLD-01,Malard Central Health Center,19,0,19,297,0.064
2021-07-19,MLD-02,Sabashahr Health Center,23,0,23,264,0.0871
2021-07-19,MLD-03,Vahedieh Health Center,15,0,15,218,0.0688
2021-07-19,MLD-04,Sadeghieh-e Malard Vaccination Center,12,0,12,211,0.0569
2021-07-19,MLD-05,Chelab Rural Vaccination Center,17,0,17,160,0.1062
2021-07-20,MLD-01,Malard Central Health Center,27,0,27,299,0.0903
2021-07-20,MLD-02,Sabashahr Health Center,14,0,14,249,0.0562
2021-07-20,MLD-03,Vahedieh Health Center,16,0,16,240,0.0667
2021-07-20,MLD-04,Sadeghieh-e Malard Vaccination Center,18,0,18,232,0.0776
2021-07-20,MLD-05,Chelab Rural Vaccination Center,12,0,12,159,0.0755
2021-07-21,MLD-01,Malard Central Health Center,16,0,16,313,0.0511
2021-07-21,MLD-02,Sabashahr Health Center,8,0,8,263,0.0304
2021-07-21,MLD-03,Vahedieh Health Center,18,0,18,241,0.0747
2021-07-21,MLD-04,Sadeghieh-e Malard Vaccination Center,6,0,6,199,0.0302
2021-07-21,MLD-05,Chelab Rural Vaccination Center,11,0,11,159,0.0692
2021-07-22,MLD-01,Malard Central Health Center,18,0,18,260,0.0692
2021-07-22,MLD-02,Sabashahr Health Center,14,0,14,250,0.056
2021-07-22,MLD-03,Vahedieh Health Center,16,0,16,212,0.0755
2021-07-22,MLD-04,Sadeghieh-e Malard Vaccination Center,16,0,16,204,0.0784
2021-07-22,MLD-05,Chelab Rural Vaccination Center,9,0,9,122,0.0738
2021-07-23,MLD-01,Malard Central Health Center,13,0,13,134,0.097
2021-07-23,MLD-02,Sabashahr Health Center,10,0,10,97,0.1031
2021-07-23,MLD-03,Vahedieh Health Center,12,0,12,99,0.1212
2021-07-23,MLD-04,Sadeghieh-e Malard Vaccination Center,8,0,8,83,0.0964
2021-07-23,MLD-05,Chelab Rural Vaccination Center,4,0,4,50,0.08
2021-07-24,MLD-01,Malard Central Health Center,14,0,14,301,0.0465
2021-07-24,MLD-02,Sabashahr Health Center,11,0,11,280,0.0393
2021-07-24,MLD-03,Vahedieh Health Center,18,0,18,259,0.0695
2021-07-24,MLD-04,Sadeghieh-e Malard Vaccination Center,20,0,20,272,0.0735
2021-07-24,MLD-05,Chelab Rural Vaccination Center,12,0,12,183,0.0656
2021-07-25,MLD-01,Malard Central Health Center,24,0,24,305,0.0787
2021-07-25,MLD-02,Sabashahr Health Center,19,0,19,283,0.0671
2021-07-25,MLD-03,Vahedieh Health Center,16,0,16,295,0.0542
2021-07-25,MLD-04,Sadeghieh-e Malard Vaccination Center,18,0,18,260,0.0692
2021-07-25,MLD-05,Chelab Rural Vaccination Center,9,0,9,174,0.0517
2021-07-26,MLD-01,Malard Central Health Center,25,0,25,362,0.0691
2021-07-26,MLD-02,Sabashahr Health Center,19,0,19,303,0.0627
2021-07-26,MLD-03,Vahedieh Health Center,19,0,19,247,0.0769
2021-07-26,MLD-04,Sadeghieh-e Malard Vaccination Center,17,0,17,244,0.0697
2021-07-26,MLD-05,Chelab Rural Vaccination Center,12,0,12,182,0.0659
2021-07-27,MLD-01,Malard Central Health Center,25,0,25,344,0.0727
2021-07-27,MLD-02,Sabashahr Health Center,11,0,11,306,0.0359
2021-07-27,MLD-03,Vahedieh Health Center,11,0,11,267,0.0412
2021-07-27,MLD-04,Sadeghieh-e Malard Vaccination Center,23,0,23,231,0.0996
2021-07-27,MLD-05,Chelab Rural Vaccination Center,8,0,8,185,0.0432
2021-07-28,MLD-01,Malard Central Health Center,12,0,12,352,0.0341
2021-07-28,MLD-02,Sabashahr Health Center,16,0,16,305,0.0525
2021-07-28,MLD-03,Vahedieh Health Center,22,0,22,273,0.0806
2021-07-28,MLD-04,Sadeghieh-e Malard Vaccination Center,19,0,19,245,0.0776
2021-07-28,MLD-05,Chelab Rural Vaccination Center,14,0,14,189,0.0741
2021-07-29,MLD-01,Malard Central Health Center,20,0,20,313,0.0639
2021-07-29,MLD-02,Sabashahr Health Center,15,0,15,245,0.0612
2021-07-29,MLD-03,Vahedieh Health Center,18,0,18,227,0.0793
2021-07-29,MLD-04,Sadeghieh-e Malard Vaccination Center,27,0,27,234,0.1154
2021-07-29,MLD-05,Chelab Rural Vaccination Center,9,0,9,172,0.0523
2021-07-30,MLD-01,Malard Central Health Center,19,0,19,145,0.131
2021-07-30,MLD-02,Sabashahr Health Center,11,0,11,109,0.1009
2021-07-30,MLD-03,Vahedieh Health Center,12,0,12,103,0.1165
2021-07-30,MLD-04,Sadeghieh-e Malard Vaccination Center,11,0,11,105,0.1048
2021-07-30,MLD-05,Chelab Rural Vaccination Center,6,0,6,64,0.0938
2021-07-31,MLD-01,Malard Central Health Center,44,0,44,411,0.1071
2021-07-31,MLD-02,Sabashahr Health Center,15,0,15,351,0.0427
2021-07-31,MLD-03,Vahedieh Health Center,13,0,13,254,0.0512
