date,center_id,center_name,total_doses_administered,appointments_scheduled,doses_via_appointment,doses_via_walkin,no_shows,no_show_rate
2021-06-08,MLD-04,Sadeghieh-e Malard Vaccination Center,103,41,36,67,5,0.122
2021-06-08,MLD-05,Chelab Rural Vaccination Center,78,40,35,43,5,0.125
2021-06-09,MLD-01,Malard Central Health Center,167,62,56,111,6,0.0968
2021-06-09,MLD-02,Sabashahr Health Center,133,54,48,85,6,0.1111
2021-06-09,MLD-03,Vahedieh Health Center,113,56,50,63,6,0.1071
2021-06-09,MLD-04,Sadeghieh-e Malard Vaccination Center,99,45,41,58,4,0.0889
2021-06-09,MLD-05,Chelab Rural Vaccination Center,73,29,27,46,2,0.069
2021-06-10,MLD-01,Malard Central Health Center,132,58,49,83,9,0.1552
2021-06-10,MLD-02,Sabashahr Health Center,109,45,39,70,6,0.1333
2021-06-10,MLD-03,Vahedieh Health Center,91,33,30,61,3,0.0909
2021-06-10,MLD-04,Sadeghieh-e Malard Vaccination Center,98,55,45,53,10,0.1818
2021-06-10,MLD-05,Chelab Rural Vaccination Center,65,34,27,38,7,0.2059
2021-06-11,MLD-01,Malard Central Health Center,58,20,18,40,2,0.1
2021-06-11,MLD-02,Sabashahr Health Center,42,16,15,27,1,0.0625
2021-06-11,MLD-03,Vahedieh Health Center,41,14,12,29,2,0.1429
2021-06-11,MLD-04,Sadeghieh-e Malard Vaccination Center,38,14,12,26,2,0.1429
2021-06-11,MLD-05,Chelab Rural Vaccination Center,27,15,13,14,2,0.1333
2021-06-12,MLD-01,Malard Central Health Center,163,75,67,96,8,0.1067
2021-06-12,MLD-02,Sabashahr Health Center,143,70,64,79,6,0.0857
2021-06-12,MLD-03,Vahedieh Health Center,110,37,34,76,3,0.0811
2021-06-12,MLD-04,Sadeghieh-e Malard Vaccination Center,87,38,33,54,5,0.1316
2021-06-12,MLD-05,Chelab Rural Vaccination Center,82,23,21,61,2,0.087
2021-06-13,MLD-01,Malard Central Health Center,155,57,53,102,4,0.0702
2021-06-13,MLD-02,Sabashahr Health Center,141,61,56,85,5,0.082
2021-06-13,MLD-03,Vahedieh Health Center,111,36,33,78,3,0.0833
2021-06-13,MLD-04,Sadeghieh-e Malard Vaccination Center,101,47,41,60,6,0.1277
2021-06-13,MLD-05,Chelab Rural Vaccination Center,77,30,26,51,4,0.1333
2021-06-14,MLD-01,Malard Central Health Center,155,57,50,105,7,0.1228
2021-06-14,MLD-02,Sabashahr Health Center,133,60,56,77,4,0.0667
2021-06-14,MLD-03,Vahedieh Health Center,112,47,42,70,5,0.1064
2021-06-14,MLD-04,Sadeghieh-e Malard Vaccination Center,117,54,49,68,5,0.0926
2021-06-14,MLD-05,Chelab Rural Vaccination Center,71,27,24,47,3,0.1111
2021-06-15,MLD-01,Malard Central Health Center,146,52,46,100,6,0.1154
2021-06-15,MLD-02,Sabashahr Health Center,131,49,41,90,8,0.1633
2021-06-15,MLD-03,Vahedieh Health Center,121,46,42,79,4,0.087
2021-06-15,MLD-04,Sadeghieh-e Malard Vaccination Center,112,50,47,65,3,0.06
2021-06-15,MLD-05,Chelab Rural Vaccination Center,86,37,33,53,4,0.1081
2021-06-16,MLD-01,Malard Central Health Center,50,24,21,29,3,0.125
2021-06-16,MLD-02,Sabashahr Health Center,38,14,12,26,2,0.1429
2021-06-16,MLD-03,Vahedieh Health Center,35,17,15,20,2,0.1176
2021-06-16,MLD-04,Sadeghieh-e Malard Vaccination Center,32,17,14,18,3,0.1765
2021-06-16,MLD-05,Chelab Rural Vaccination Center,25,11,10,15,1,0.0909
2021-06-17,MLD-01,Malard Central Health Center,145,65,58,87,7,0.1077
2021-06-17,MLD-02,Sabashahr Health Center,113,43,39,74,4,0.093
2021-06-17,MLD-03,Vahedieh Health Center,101,39,33,68,6,0.1538
2021-06-17,MLD-04,Sadeghieh-e Malard Vaccination Center,100,43,38,62,5,0.1163
2021-06-17,MLD-05,Chelab Rural Vaccination Center,60,20,16,44,4,0.2
2021-06-18,MLD-01,Malard Central Health Center,55,25,22,33,3,0.12
2021-06-18,MLD-02,Sabashahr Health Center,54,23,22,32,1,0.0435
2021-06-18,MLD-03,Vahedieh Health Center,38,17,15,23,2,0.1176
2021-06-18,MLD-04,Sadeghieh-e Malard Vaccination Center,39,19,17,22,2,0.1053
2021-06-18,MLD-05,Chelab Rural Vaccination Center,28,10,10,18,0,0.0
2021-06-19,MLD-01,Malard Central Health Center,186,68,63,123,5,0.0735
2021-06-19,MLD-02,Sabashahr Health Center,127,46,41,86,5,0.1087
2021-06-19,MLD-03,Vahedieh Health Center,113,57,51,62,6,0.1053
2021-06-19,MLD-04,Sadeghieh-e Malard Vaccination Center,95,43,40,55,3,0.0698
2021-06-19,MLD-05,Chelab Rural Vaccination Center,90,37,34,56,3,0.0811
2021-06-20,MLD-01,Malard Central Health Center,168,78,67,101,11,0.141
2021-06-20,MLD-02,Sabashahr Health Center,123,57,46,77,11,0.193
2021-06-20,MLD-03,Vahedieh Health Center,128,65,56,72,9,0.1385
2021-06-20,MLD-04,Sadeghieh-e Malard Vaccination Center,116,50,45,71,5,0.1
2021-06-20,MLD-05,Chelab Rural Vaccination Center,87,33,30,57,3,0.0909
2021-06-21,MLD-01,Malard Central Health Center,158,66,57,101,9,0.1364
2021-06-21,MLD-02,Sabashahr Health Center,141,52,47,94,5,0.0962
2021-06-21,MLD-03,Vahedieh Health Center,126,61,56,70,5,0.082
2021-06-21,MLD-04,Sadeghieh-e Malard Vaccination Center,127,62,55,72,7,0.1129
2021-06-21,MLD-05,Chelab Rural Vaccination Center,78,31,30,48,1,0.0323
2021-06-22,MLD-01,Malard Central Health Center,151,65,60,91,5,0.0769
2021-06-22,MLD-02,Sabashahr Health Center,123,62,54,69,8,0.129
2021-06-22,MLD-03,Vahedieh Health Center,129,70,64,65,6,0.0857
2021-06-22,MLD-04,Sadeghieh-e Malard Vaccination Center,132,56,50,82,6,0.1071
2021-06-22,MLD-05,Chelab Rural Vaccination Center,96,52,42,54,10,0.1923
2021-06-23,MLD-01,Malard Central Health Center,176,75,66,110,9,0.12
2021-06-23,MLD-02,Sabashahr Health Center,139,64,55,84,9,0.1406
2021-06-23,MLD-03,Vahedieh Health Center,131,61,57,74,4,0.0656
2021-06-23,MLD-04,Sadeghieh-e Malard Vaccination Center,124,43,39,85,4,0.093
2021-06-23,MLD-05,Chelab Rural Vaccination Center,68,27,23,45,4,0.1481
2021-06-24,MLD-01,Malard Central Health Center,150,64,58,92,6,0.0938
2021-06-24,MLD-02,Sabashahr Health Center,115,59,50,65,9,0.1525
2021-06-24,MLD-03,Vahedieh Health Center,107,43,36,71,7,0.1628
2021-06-24,MLD-04,Sadeghieh-e Malard Vaccination Center,100,53,43,57,10,0.1887
2021-06-24,MLD-05,Chelab Rural Vaccination Center,75,35,28,47,7,0.2
2021-06-25,MLD-01,Malard Central Health Center,61,26,24,37,2,0.0769
2021-06-25,MLD-02,Sabashahr Health Center,52,19,17,35,2,0.1053
2021-06-25,MLD-03,Vahedieh Health Center,41,20,17,24,3,0.15
2021-06-25,MLD-04,Sadeghieh-e Malard Vaccination Center,41,18,16,25,2,0.1111
2021-06-25,MLD-05,Chelab Rural Vaccination Center,30,14,12,18,2,0.1429
2021-06-26,MLD-01,Malard Central Health Center,169,76,66,103,10,0.1316
2021-06-26,MLD-02,Sabashahr Health Center,145,50,44,101,6,0.12
2021-06-26,MLD-03,Vahedieh Health Center,117,46,41,76,5,0.1087
2021-06-26,MLD-04,Sadeghieh-e Malard Vaccination Center,122,46,42,80,4,0.087
2021-06-26,MLD-05,Chelab Rural Vaccination Center,91,40,35,56,5,0.125
2021-06-27,MLD-01,Malard Central Health Center,168,89,76,92,13,0.1461
2021-06-27,MLD-02,Sabashahr Health Center,124,57,50,74,7,0.1228
2021-06-27,MLD-03,Vahedieh Health Center,128,55,48,80,7,0.1273
2021-06-27,MLD-04,Sadeghieh-e Malard Vaccination Center,135,63,56,79,7,0.1111
2021-06-27,MLD-05,Chelab Rural Vaccination Center,85,42,39,46,3,0.0714
2021-06-28,MLD-01,Malard Central Health Center,179,60,54,125,6,0.1
2021-06-28,MLD-02,Sabashahr Health Center,153,63,54,99,9,0.1429
2021-06-28,MLD-03,Vahedieh Health Center,121,53,46,75,7,0.1321
2021-06-28,MLD-04,Sadeghieh-e Malard Vaccination Center,111,52,47,64,5,0.0962
2021-06-28,MLD-05,Chelab Rural Vaccination Center,82,32,30,52,2,0.0625
2021-06-29,MLD-01,Malard Central Health Center,179,70,60,119,10,0.1429
2021-06-29,MLD-02,Sabashahr Health Center,153,64,55,98,9,0.1406
2021-06-29,MLD-03,Vahedieh Health Center,125,54,47,78,7,0.1296
2021-06-29,MLD-04,Sadeghieh-e Malard Vaccination Center,109,48,43,66,5,0.1042
2021-06-29,MLD-05,Chelab Rural Vaccination Center,88,41,37,51,4,0.0976
2021-06-30,MLD-01,Malard Central Health Center,172,85,77,95,8,0.0941
2021-06-30,MLD-02,Sabashahr Health Center,154,60,57,97,3,0.05
2021-06-30,MLD-03,Vahedieh Health Center,128,62,55,73,7,0.1129
2021-06-30,MLD-04,Sadeghieh-e Malard Vaccination Center,110,47,42,68,5,0.1064
2021-06-30,MLD-05,Chelab Rural Vaccination Center,93,37,32,61,5,0.1351
2021-07-01,MLD-01,Malard Central Health Center,153,50,44,109,6,0.12
2021-07-01,MLD-02,Sabashahr Health Center,135,55,45,90,10,0.1818
2021-07-01,MLD-03,Vahedieh Health Center,100,47,40,60,7,0.1489
2021-07-01,MLD-04,Sadeghieh-e Malard Vaccination Center,94,41,38,56,3,0.0732
2021-07-01,MLD-05,Chelab Rural Vaccination Center,77,28,24,53,4,0.1429
2021-07-02,MLD-01,Malard Central Health Center,56,32,28,28,4,0.125
2021-07-02,MLD-02,Sabashahr Health Center,54,19,18,36,1,0.0526
2021-07-02,MLD-03,Vahedieh Health Center,46,18,16,30,2,0.1111
2021-07-02,MLD-04,Sadeghieh-e Malard Vaccination Center,44,22,20,24,2,0.0909
2021-07-02,MLD-05,Chelab Rural Vaccination Center,37,17,15,22,2,0.1176
2021-07-03,MLD-01,Malard Central Health Center,200,96,88,112,8,0.0833
2021-07-03,MLD-02,Sabashahr Health Center,135,65,61,74,4,0.0615
2021-07-03,MLD-03,Vahedieh Health Center,133,50,43,90,7,0.14
2021-07-03,MLD-04,Sadeghieh-e Malard Vaccination Center,135,60,55,80,5,0.0833
2021-07-03,MLD-05,Chelab Rural Vaccination Center,98,45,41,57,4,0.0889
2021-07-04,MLD-01,Malard Central Health Center,196,90,77,119,13,0.1444
2021-07-04,MLD-02,Sabashahr Health Center,167,72,64,103,8,0.1111
2021-07-04,MLD-03,Vahedieh Health Center,159,80,72,87,8,0.1
2021-07-04,MLD-04,Sadeghieh-e Malard Vaccination Center,117,57,52,65,5,0.0877
2021-07-04,MLD-05,Chelab Rural Vaccination Center,90,42,37,53,5,0.119
2021-07-05,MLD-01,Malard Central Health Center,216,99,93,123,6,0.0606
2021-07-05,MLD-02,Sabashahr Health Center,161,74,63,98,11,0.1486
2021-07-05,MLD-03,Vahedieh Health Center,130,63,55,75,8,0.127
2021-07-05,MLD-04,Sadeghieh-e Malard Vaccination Center,142,65,57,85,8,0.1231
2021-07-05,MLD-05,Chelab Rural Vaccination Center,104,47,43,61,4,0.0851
2021-07-06,MLD-01,Malard Central Health Center,227,110,101,126,9,0.0818
2021-07-06,MLD-02,Sabashahr Health Center,184,98,92,92,6,0.0612
2021-07-06,MLD-03,Vahedieh Health Center,152,51,47,105,4,0.0784
2021-07-06,MLD-04,Sadeghieh-e Malard Vaccination Center,127,69,60,67,9,0.1304
2021-07-06,MLD-05,Chelab Rural Vaccination Center,92,42,38,54,4,0.0952
2021-07-07,MLD-01,Malard Central Health Center,217,109,95,122,14,0.1284
2021-07-07,MLD-02,Sabashahr Health Center,174,93,79,95,14,0.1505
2021-07-07,MLD-03,Vahedieh Health Center,165,69,62,103,7,0.1014
2021-07-07,MLD-04,Sadeghieh-e Malard Vaccination Center,147,72,62,85,10,0.1389
2021-07-07,MLD-05,Chelab Rural Vaccination Center,102,45,39,63,6,0.1333
2021-07-08,MLD-01,Malard Central Health Center,185,85,72,113,13,0.1529
2021-07-08,MLD-02,Sabashahr Health Center,151,74,64,87,10,0.1351
2021-07-08,MLD-03,Vahedieh Health Center,128,53,44,84,9,0.1698
2021-07-08,MLD-04,Sadeghieh-e Malard Vaccination Center,134,54,47,87,7,0.1296
2021-07-08,MLD-05,Chelab Rural Vaccination Center,106,51,41,65,10,0.1961
2021-07-09,MLD-01,Malard Central Health Center,77,27,24,53,3,0.1111
2021-07-09,MLD-02,Sabashahr Health Center,65,25,22,43,3,0.12
2021-07-09,MLD-03,Vahedieh Health Center,55,28,25,30,3,0.1071
2021-07-09,MLD-04,Sadeghieh-e Malard Vaccination Center,55,24,20,35,4,0.1667
2021-07-09,MLD-05,Chelab Rural Vaccination Center,42,15,14,28,1,0.0667
2021-07-10,MLD-01,Malard Central Health Center,225,117,112,113,5,0.0427
2021-07-10,MLD-02,Sabashahr Health Center,188,96,86,102,10,0.1042
2021-07-10,MLD-03,Vahedieh Health Center,169,68,62,107,6,0.0882
2021-07-10,MLD-04,Sadeghieh-e Malard Vaccination Center,155,69,60,95,9,0.1304
2021-07-10,MLD-05,Chelab Rural Vaccination Center,122,54,47,75,7,0.1296
2021-07-11,MLD-01,Malard Central Health Center,249,109,97,152,12,0.1101
2021-07-11,MLD-02,Sabashahr Health Center,186,76,65,121,11,0.1447
2021-07-11,MLD-03,Vahedieh Health Center,148,43,41,107,2,0.0465
2021-07-11,MLD-04,Sadeghieh-e Malard Vaccination Center,168,72,64,104,8,0.1111
2021-07-11,MLD-05,Chelab Rural Vaccination Center,126,61,53,73,8,0.1311
2021-07-12,MLD-01,Malard Central Health Center,261,123,116,145,7,0.0569
2021-07-12,MLD-02,Sabashahr Health Center,202,103,92,110,11,0.1068
2021-07-12,MLD-03,Vahedieh Health Center,182,87,79,103,8,0.092
2021-07-12,MLD-04,Sadeghieh-e Malard Vaccination Center,156,69,64,92,5,0.0725
2021-07-12,MLD-05,Chelab Rural Vaccination Center,115,54,48,67,6,0.1111
2021-07-13,MLD-01,Malard Central Health Center,240,128,110,130,18,0.1406
2021-07-13,MLD-02,Sabashahr Health Center,207,102,93,114,9,0.0882
2021-07-13,MLD-03,Vahedieh Health Center,188,84,72,116,12,0.1429
2021-07-13,MLD-04,Sadeghieh-e Malard Vaccination Center,192,91,80,112,11,0.1209
2021-07-13,MLD-05,Chelab Rural Vaccination Center,121,55,50,71,5,0.0909
2021-07-14,MLD-01,Malard Central Health Center,267,111,98,169,13,0.1171
2021-07-14,MLD-02,Sabashahr Health Center,210,86,77,133,9,0.1047
2021-07-14,MLD-03,Vahedieh Health Center,196,94,88,108,6,0.0638
2021-07-14,MLD-04,Sadeghieh-e Malard Vaccination Center,175,83,75,100,8,0.0964
2021-07-14,MLD-05,Chelab Rural Vaccination Center,122,58,53,69,5,0.0862
2021-07-15,MLD-01,Malard Central Health Center,220,91,77,143,14,0.1538
2021-07-15,MLD-02,Sabashahr Health Center,181,74,63,118,11,0.1486
2021-07-15,MLD-03,Vahedieh Health Center,161,98,84,77,14,0.1429
2021-07-15,MLD-04,Sadeghieh-e Malard Vaccination Center,166,67,54,112,13,0.194
2021-07-15,MLD-05,Chelab Rural Vaccination Center,115,59,47,68,12,0.2034
2021-07-16,MLD-01,Malard Central Health Center,93,37,32,61,5,0.1351
2021-07-16,MLD-02,Sabashahr Health Center,78,37,32,46,5,0.1351
2021-07-16,MLD-03,Vahedieh Health Center,67,30,26,41,4,0.1333
2021-07-16,MLD-04,Sadeghieh-e Malard Vaccination Center,66,29,25,41,4,0.1379
2021-07-16,MLD-05,Chelab Rural Vaccination Center,47,24,20,27,4,0.1667
2021-07-17,MLD-01,Malard Central Health Center,229,92,87,142,5,0.0543
2021-07-17,MLD-02,Sabashahr Health Center,251,115,100,151,15,0.1304
2021-07-17,MLD-03,Vahedieh Health Center,215,111,104,111,7,0.0631
2021-07-17,MLD-04,Sadeghieh-e Malard Vaccination Center,201,98,91,110,7,0.0714
2021-07-17,MLD-05,Chelab Rural Vaccination Center,134,73,62,72,11,0.1507
2021-07-18,MLD-01,Malard Central Health Center,263,100,85,178,15,0.15
2021-07-18,MLD-02,Sabashahr Health Center,246,126,115,131,11,0.0873
2021-07-18,MLD-03,Vahedieh Health Center,185,102,89,96,13,0.1275
2021-07-18,MLD-04,Sadeghieh-e Malard Vaccination Center,213,102,94,119,8,0.0784
2021-07-18,MLD-05,Chelab Rural Vaccination Center,135,55,49,86,6,0.1091
2021-07-19,MLD-01,Malard Central Health Center,278,78,71,207,7,0.0897
2021-07-19,MLD-02,Sabashahr Health Center,241,83,76,165,7,0.0843
2021-07-19,MLD-03,Vahedieh Health Center,203,93,83,120,10,0.1075
2021-07-19,MLD-04,Sadeghieh-e Malard Vaccination Center,199,104,91,108,13,0.125
2021-07-19,MLD-05,Chelab Rural Vaccination Center,143,64,57,86,7,0.1094
2021-07-20,MLD-01,Malard Central Health Center,272,140,122,150,18,0.1286
2021-07-20,MLD-02,Sabashahr Health Center,235,112,97,138,15,0.1339
2021-07-20,MLD-03,Vahedieh Health Center,224,88,83,141,5,0.0568
2021-07-20,MLD-04,Sadeghieh-e Malard Vaccination Center,214,116,104,110,12,0.1034
2021-07-20,MLD-05,Chelab Rural Vaccination Center,147,78,65,82,13,0.1667
2021-07-21,MLD-01,Malard Central Health Center,297,173,157,140,16,0.0925
2021-07-21,MLD-02,Sabashahr Health Center,255,139,127,128,12,0.0863
2021-07-21,MLD-03,Vahedieh Health Center,223,103,90,133,13,0.1262
2021-07-21,MLD-04,Sadeghieh-e Malard Vaccination Center,193,111,91,102,20,0.1802
2021-07-21,MLD-05,Chelab Rural Vaccination Center,148,68,61,87,7,0.1029
2021-07-22,MLD-01,Malard Central Health Center,242,106,94,148,12,0.1132
2021-07-22,MLD-02,Sabashahr Health Center,236,142,121,115,21,0.1479
2021-07-22,MLD-03,Vahedieh Health Center,196,88,73,123,15,0.1705
2021-07-22,MLD-04,Sadeghieh-e Malard Vaccination Center,188,109,88,100,21,0.1927
2021-07-22,MLD-05,Chelab Rural Vaccination Center,113,67,53,60,14,0.209
2021-07-23,MLD-01,Malard Central Health Center,121,51,48,73,3,0.0588
2021-07-23,MLD-02,Sabashahr Health Center,87,49,44,43,5,0.102
2021-07-23,MLD-03,Vahedieh Health Center,87,38,33,54,5,0.1316
2021-07-23,MLD-04,Sadeghieh-e Malard Vaccination Center,75,35,31,44,4,0.1143
2021-07-23,MLD-05,Chelab Rural Vaccination Center,46,24,22,24,2,0.0833
2021-07-24,MLD-01,Malard Central Health Center,287,130,113,174,17,0.1308
2021-07-24,MLD-02,Sabashahr Health Center,269,117,106,163,11,0.094
2021-07-24,MLD-03,Vahedieh Health Center,241,149,129,112,20,0.1342
2021-07-24,MLD-04,Sadeghieh-e Malard Vaccination Center,252,117,107,145,10,0.0855
2021-07-24,MLD-05,Chelab Rural Vaccination Center,171,84,72,99,12,0.1429
2021-07-25,MLD-01,Malard Central Health Center,281,111,94,187,17,0.1532
2021-07-25,MLD-02,Sabashahr Health Center,264,120,104,160,16,0.1333
2021-07-25,MLD-03,Vahedieh Health Center,279,116,99,180,17,0.1466
2021-07-25,MLD-04,Sadeghieh-e Malard Vaccination Center,242,117,107,135,10,0.0855
2021-07-25,MLD-05,Chelab Rural Vaccination Center,165,76,67,98,9,0.1184
2021-07-26,MLD-01,Malard Central Health Center,337,188,162,175,26,0.1383
2021-07-26,MLD-02,Sabashahr Health Center,284,144,129,155,15,0.1042
2021-07-26,MLD-03,Vahedieh Health Center,228,108,92,136,16,0.1481
2021-07-26,MLD-04,Sadeghieh-e Malard Vaccination Center,227,153,134,93,19,0.1242
2021-07-26,MLD-05,Chelab Rural Vaccination Center,170,74,68,102,6,0.0811
2021-07-27,MLD-01,Malard Central Health Center,319,129,115,204,14,0.1085
2021-07-27,MLD-02,Sabashahr Health Center,295,127,113,182,14,0.1102
2021-07-27,MLD-03,Vahedieh Health Center,256,101,93,163,8,0.0792
2021-07-27,MLD-04,Sadeghieh-e Malard Vaccination Center,208,108,96,112,12,0.1111
2021-07-27,MLD-05,Chelab Rural Vaccination Center,177,120,102,75,18,0.15
2021-07-28,MLD-01,Malard Central Health Center,340,151,137,203,14,0.0927
