date,center_id,center_name,vaccinators_on_duty,theoretical_capacity_doses
2021-07-11,MLD-01,Malard Central Health Center,6,900
2021-07-12,MLD-01,Malard Central Health Center,6,900
2021-07-13,MLD-01,Malard Central Health Center,3,450
2021-07-14,MLD-01,Malard Central Health Center,6,900
2021-07-15,MLD-01,Malard Central Health Center,4,600
2021-07-16,MLD-01,Malard Central Health Center,1,150
2021-07-17,MLD-01,Malard Central Health Center,6,900
2021-07-18,MLD-01,Malard Central Health Center,6,900
2021-07-19,MLD-01,Malard Central Health Center,6,900
2021-07-20,MLD-01,Malard Central Health Center,6,900
2021-07-21,MLD-01,Malard Central Health Center,6,900
2021-07-22,MLD-01,Malard Central Health Center,4,600
2021-07-23,MLD-01,Malard Central Health Center,2,300
2021-07-24,MLD-01,Malard Central Health Center,6,900
2021-07-25,MLD-01,Malard Central Health Center,6,900
2021-07-26,MLD-01,Malard Central Health Center,6,900
2021-07-27,MLD-01,Malard Central Health Center,6,900
2021-07-28,MLD-01,Malard Central Health Center,6,900
2021-07-29,MLD-01,Malard Central Health Center,4,600
2021-07-30,MLD-01,Malard Central Health Center,2,300
2021-07-31,MLD-01,Malard Central Health Center,6,900
2021-08-01,MLD-01,Malard Central Health Center,6,900
2021-08-02,MLD-01,Malard Central Health Center,6,900
2021-08-03,MLD-01,Malard Central Health Center,4,600
2021-08-04,MLD-01,Malard Central Health Center,6,900
2021-08-05,MLD-01,Malard Central Health Center,3,450
2021-08-06,MLD-01,Malard Central Health Center,2,300
2021-08-07,MLD-01,Malard Central Health Center,6,900
2021-08-08,MLD-01,Malard Central Health Center,6,900
2021-08-09,MLD-01,Malard Central Health Center,6,900
2021-08-10,MLD-01,Malard Central Health Center,6,900
2021-08-11,MLD-01,Malard Central Health Center,6,900
2021-08-12,MLD-01,Malard Central Health Center,4,600
2021-08-13,MLD-01,Malard Central Health Center,2,300
2021-08-14,MLD-01,Malard Central Health Center,6,900
2021-08-15,MLD-01,Malard Central Health Center,6,900
2021-08-16,MLD-01,Malard Central Health Center,6,900
2021-08-17,MLD-01,Malard Central Health Center,6,900
2021-08-18,MLD-01,Malard Central Health Center,6,900
2021-08-19,MLD-01,Malard Central Health Center,4,600
2021-08-20,MLD-01,Malard Central Health Center,2,300
2021-08-21,MLD-01,Malard Central Health Center,6,900
2021-08-22,MLD-01,Malard Central Health Center,6,900
2021-08-23,MLD-01,Malard Central Health Center,6,900
2021-08-24,MLD-01,Malard Central Health Center,6,900
2021-08-25,MLD-01,Malard Central Health Center,6,900
2021-08-26,MLD-01,Malard Central Health Center,4,600
2021-08-27,MLD-01,Malard Central Health Center,2,300
2021-08-28,MLD-01,Malard Central Health Center,6,900
2021-08-29,MLD-01,Malard Central Health Center,6,900
2021-08-30,MLD-01,Malard Central Health Center,6,900
2021-08-31,MLD-01,Malard Central Health Center,6,900
2021-09-01,MLD-01,Malard Central Health Center,6,900
2021-09-02,MLD-01,Malard Central Health Center,4,600
2021-09-03,MLD-01,Malard Central Health Center,2,300
2021-09-04,MLD-01,Malard Central Health Center,6,900
2021-09-05,MLD-01,Malard Central Health Center,6,900
2021-09-06,MLD-01,Malard Central Health Center,6,900
2021-09-07,MLD-01,Malard Central Health Center,6,900
2021-09-08,MLD-01,Malard Central Health Center,6,900
2021-09-09,MLD-01,Malard Central Health Center,4,600
2021-09-10,MLD-01,Malard Central Health Center,2,300
2021-09-11,MLD-01,Malard Central Health Center,6,900
2021-09-12,MLD-01,Malard Central Health Center,6,900
2021-09-13,MLD-01,Malard Central Health Center,6,900
2021-09-14,MLD-01,Malard Central Health Center,6,900
2021-09-15,MLD-01,Malard Central Health Center,6,900
2021-09-16,MLD-01,Malard Central Health Center,4,600
2021-09-17,MLD-01,Malard Central Health Center,2,300
2021-09-18,MLD-01,Malard Central Health Center,4,600
2021-09-19,MLD-01,Malard Central Health Center,6,900
2021-09-20,MLD-01,Malard Central Health Center,6,900
2021-09-21,MLD-01,Malard Central Health Center,6,900
2021-09-22,MLD-01,Malard Central Health Center,5,750
2021-09-23,MLD-01,Malard Central Health Center,4,600
2021-09-24,MLD-01,Malard Central Health Center,2,300
2021-09-25,MLD-01,Malard Central Health Center,6,900
2021-09-26,MLD-01,Malard Central Health Center,6,900
2021-09-27,MLD-01,Malard Central Health Center,6,900
2021-09-28,MLD-01,Malard Central Health Center,6,900
2021-09-29,MLD-01,Malard Central Health Center,6,900
2021-09-30,MLD-01,Malard Central Health Center,3,450
2021-10-01,MLD-01,Malard Central Health Center,2,300
2021-10-02,MLD-01,Malard Central Health Center,6,900
2021-10-03,MLD-01,Malard Central Health Center,6,900
2021-10-04,MLD-01,Malard Central Health Center,6,900
2021-10-05,MLD-01,Malard Central Health Center,6,900
2021-10-06,MLD-01,Malard Central Health Center,6,900
2021-10-07,MLD-01,Malard Central Health Center,4,600
2021-10-08,MLD-01,Malard Central Health Center,2,300
2021-10-09,MLD-01,Malard Central Health Center,6,900
2021-10-10,MLD-01,Malard Central Health Center,6,900
2021-10-11,MLD-01,Malard Central Health Center,6,900
2021-10-12,MLD-01,Malard Central Health Center,6,900
2021-10-13,MLD-01,Malard Central Health Center,6,900
2021-10-14,MLD-01,Malard Central Health Center,4,600
2021-10-15,MLD-01,Malard Central Health Center,2,300
2021-10-16,MLD-01,Malard Central Health Center,6,900
2021-10-17,MLD-01,Malard Central Health Center,6,900
2021-10-18,MLD-01,Malard Central Health Center,5,750
2021-10-19,MLD-01,Malard Central Health Center,6,900
2021-10-20,MLD-01,Malard Central Health Center,6,900
2021-10-21,MLD-01,Malard Central Health Center,4,600
2021-10-22,MLD-01,Malard Central Health Center,2,300
2021-10-23,MLD-01,Malard Central Health Center,6,900
2021-10-24,MLD-01,Malard Central Health Center,6,900
2021-10-25,MLD-01,Malard Central Health Center,6,900
2021-10-26,MLD-01,Malard Central Health Center,6,900
2021-10-27,MLD-01,Malard Central Health Center,6,900
2021-10-28,MLD-01,Malard Central Health Center,4,600
2021-10-29,MLD-01,Malard Central Health Center,2,300
2021-10-30,MLD-01,Malard Central Health Center,6,900
2021-10-31,MLD-01,Malard Central Health Center,6,900
2021-11-01,MLD-01,Malard Central Health Center,6,900
2021-11-02,MLD-01,Malard Central Health Center,4,600
2021-11-03,MLD-01,Malard Central Health Center,5,750
2021-11-04,MLD-01,Malard Central Health Center,4,600
2021-11-05,MLD-01,Malard Central Health Center,2,300
2021-11-06,MLD-01,Malard Central Health Center,6,900
2021-11-07,MLD-01,Malard Central Health Center,6,900
2021-11-08,MLD-01,Malard Central Health Center,6,900
2021-11-09,MLD-01,Malard Central Health Center,6,900
2021-11-10,MLD-01,Malard Central Health Center,6,900
2021-11-11,MLD-01,Malard Central Health Center,4,600
2021-11-12,MLD-01,Malard Central Health Center,2,300
2021-11-13,MLD-01,Malard Central Health Center,6,900
2021-11-14,MLD-01,Malard Central Health Center,6,900
2021-11-15,MLD-01,Malard Central Health Center,6,900
2021-11-16,MLD-01,Malard Central Health Center,6,900
2021-11-17,MLD-01,Malard Central Health Center,6,900
2021-11-18,MLD-01,Malard Central Health Center,4,600
2021-11-19,MLD-01,Malard Central Health Center,2,300
2021-11-20,MLD-01,Malard Central Health Center,6,900
2021-11-21,MLD-01,Malard Central Health Center,6,900
2021-11-22,MLD-01,Malard Central Health Center,6,900
2021-11-23,MLD-01,Malard Central Health Center,6,900
2021-11-24,MLD-01,Malard Central Health Center,6,900
2021-11-25,MLD-01,Malard Central Health Center,4,600
2021-11-26,MLD-01,Malard Central Health Center,2,300
2021-11-27,MLD-01,Malard Central Health Center,6,900
2021-11-28,MLD-01,Malard Central Health Center,6,900
2021-11-29,MLD-01,Malard Central Health Center,6,900
2021-11-30,MLD-01,Malard Central Health Center,6,900
2021-12-01,MLD-01,Malard Central Health Center,6,900
2021-12-02,MLD-01,Malard Central Health Center,4,600
2021-12-03,MLD-01,Malard Central Health Center,2,300
2021-12-04,MLD-01,Malard Central Health Center,6,900
2021-12-05,MLD-01,Malard Central Health Center,4,600
2021-12-06,MLD-01,Malard Central Health Center,6,900
2021-12-07,MLD-01,Malard Central Health Center,6,900
2021-12-08,MLD-01,Malard Central Health Center,6,900
2021-12-09,MLD-01,Malard Central Health Center,4,600
2021-12-10,MLD-01,Malard Central Health Center,2,300
2021-12-11,MLD-01,Malard Central Health Center,6,900
2021-12-12,MLD-01,Malard Central Health Center,6,900
2021-12-13,MLD-01,Malard Central Health Center,6,900
2021-12-14,MLD-01,Malard Central Health Center,4,600
2021-12-15,MLD-01,Malard Central Health Center,6,900
2021-12-16,MLD-01,Malard Central Health Center,4,600
2021-12-17,MLD-01,Malard Central Health Center,2,300
2021-12-18,MLD-01,Malard Central Health Center,6,900
2021-12-19,MLD-01,Malard Central Health Center,4,600
2021-12-20,MLD-01,Malard Central Health Center,6,900
2021-12-21,MLD-01,Malard Central Health Center,6,900
2021-12-22,MLD-01,Malard Central Health Center,6,900
2021-12-23,MLD-01,Malard Central Health Center,4,600
2021-12-24,MLD-01,Malard Central Health Center,2,300
2021-12-25,MLD-01,Malard Central Health Center,6,900
2021-12-26,MLD-01,Malard Central Health Center,6,900
2021-12-27,MLD-01,Malard Central Health Center,6,900
2021-12-28,MLD-01,Malard Central Health Center,6,900
2021-12-29,MLD-01,Malard Central Health Center,6,900
2021-12-30,MLD-01,Malard Central Health Center,2,300
2021-12-31,MLD-01,Malard Central Health Center,2,300
2022-01-01,MLD-01,Malard Central Health Center,6,900
2022-01-02,MLD-01,Malard Central Health Center,6,900
2022-01-03,MLD-01,Malard Central Health Center,6,900
2022-01-04,MLD-01,Malard Central Health Center,6,900
2022-01-05,MLD-01,Malard Central Health Center,6,900
2022-01-06,MLD-01,Malard Central Health Center,4,600
2022-01-07,MLD-01,Malard Central Health Center,2,300
2022-01-08,MLD-01,Malard Central Health Center,6,900
2022-01-09,MLD-01,Malard Central Health Center,6,900
2022-01-10,MLD-01,Malard Central Health Center,4,600
2022-01-11,MLD-01,Malard Central Health Center,6,900
2022-01-12,MLD-01,Malard Central Health Center,6,900
2022-01-13,MLD-01,Malard Central Health Center,4,600
2022-01-14,MLD-01,Malard Central Health Center,2,300
2022-01-15,MLD-01,Malard Central Health Center,6,900
2022-01-16,MLD-01,Malard Central Health Center,6,900
2022-01-17,MLD-01,Malard Central Health Center,6,900
2022-01-18,MLD-01,Malard Central Health Center,6,900
2022-01-19,MLD-01,Malard Central Health Center,6,900
2022-01-20,MLD-01,Malard Central Health Center,4,600
2022-01-21,MLD-01,Malard Central Health Center,2,300
2022-01-22,MLD-01,Malard Central Health Center,6,900
2022-01-23,MLD-01,Malard Central Health Center,6,900
2022-01-24,MLD-01,Malard Central Health Center,6,900
2022-01-25,MLD-01,Malard Central Health Center,6,900
2022-01-26,MLD-01,Malard Central Health Center,6,900
2022-01-27,MLD-01,Malard Central Health Center,4,600
2022-01-28,MLD-01,Malard Central Health Center,2,300
2022-01-29,MLD-01,Malard Central Health Center,6,900
2022-01-30,MLD-01,Malard Central Health Center,6,900
2022-01-31,MLD-01,Malard Central Health Center,6,900
2022-02-01,MLD-01,Malard Central Health Center,6,900
2022-02-02,MLD-01,Malard Central Health Center,6,900
2022-02-03,MLD-01,Malard Central Health Center,4,600
2022-02-04,MLD-01,Malard Central Health Center,2,300
2022-02-05,MLD-01,Malard Central Health Center,6,900
2022-02-06,MLD-01,Malard Central Health Center,6,900
2022-02-07,MLD-01,Malard Central Health Center,6,900
2022-02-08,MLD-01,Malard Central Health Center,6,900
2022-02-09,MLD-01,Malard Central Health Center,6,900
2022-02-10,MLD-01,Malard Central Health Center,4,600
2022-02-11,MLD-01,Malard Central Health Center,2,300
2022-02-12,MLD-01,Malard Central Health Center,6,900
2022-02-13,MLD-01,Malard Central Health Center,6,900
2022-02-14,MLD-01,Malard Central Health Center,6,900
2022-02-15,MLD-01,Malard Central Health Center,6,900
2022-02-16,MLD-01,Malard Central Health Center,6,900
2022-02-17,MLD-01,Malard Central Health Center,4,600
2022-02-18,MLD-01,Malard Central Health Center,2,300
2022-02-19,MLD-01,Malard Central Health Center,4,600
2022-02-20,MLD-01,Malard Central Health Center,6,900
2022-02-21,MLD-01,Malard Central Health Center,6,900
2022-02-22,MLD-01,Malard Central Health Center,6,900
2022-02-23,MLD-01,Malard Central Health Center,6,900
2022-02-24,MLD-01,Malard Central Health Center,4,600
2022-02-25,MLD-01,Malard Central Health Center,2,300
2022-02-26,MLD-01,Malard Central Health Center,6,900
2022-02-27,MLD-01,Malard Central Health Center,6,900
2022-02-28,MLD-01,Malard Central Health Center,6,900
2022-03-01,MLD-01,Malard Central Health Center,6,900
2022-03-02,MLD-01,Malard Central Health Center,6,900
2022-03-03,MLD-01,Malard Central Health Center,4,600
2022-03-04,MLD-01,Malard Central Health Center,2,300
2022-03-05,MLD-01,Malard Central Health Center,6,900
2022-03-06,MLD-01,Malard Central Health Center,6,900
2022-03-07,MLD-01,Malard Central Health Center,6,900
2022-03-08,MLD-01,Malard Central Health Center,6,900
2022-03-09,MLD-01,Malard Central Health Center,6,900
2022-03-10,MLD-01,Malard Central Health Center,4,600
2022-03-11,MLD-01,Malard Central Health Center,2,300
2022-03-12,MLD-01,Malard Central Health Center,6,900
2022-03-13,MLD-01,Malard Central Health Center,6,900
2022-03-14,MLD-01,Malard Central Health Center,6,900
2022-03-15,MLD-01,Malard Central Health Center,6,900
2022-03-16,MLD-01,Malard Central Health Center,6,900
2022-03-17,MLD-01,Malard Central Health Center,4,600
2022-03-18,MLD-01,Malard Central Health Center,2,300
2022-03-19,MLD-01,Malard Central Health Center,6,900
2022-03-20,MLD-01,Malard Central Health Center,3,450
2022-03-21,MLD-01,Malard Central Health Center,6,900
2022-03-22,MLD-01,Malard Central Health Center,6,900
2022-03-23,MLD-01,Malard Central Health Center,6,900
2022-03-24,MLD-01,Malard Central Health Center,4,600
2022-03-25,MLD-01,Malard Central Health Center,2,300
2022-03-26,MLD-01,Malard Central Health Center,6,900
2022-03-27,MLD-01,Malard Central Health Center,6,900
2022-03-28,MLD-01,Malard Central Health Center,6,900
2022-03-29,MLD-01,Malard Central Health Center,6,900
2022-03-30,MLD-01,Malard Central Health Center,6,900
2022-03-31,MLD-01,Malard Central Health Center,3,450
2022-04-01,MLD-01,Malard Central Health Center,2,300
2022-04-02,MLD-01,Malard Central Health Center,6,900
2022-04-03,MLD-01,Malard Central Health Center,6,900
2022-04-04,MLD-01,Malard Central Health Center,6,900
2022-04-05,MLD-01,Malard Central Health Center,6,900
2022-04-06,MLD-01,Malard Central Health Center,6,900
2022-04-07,MLD-01,Malard Central Health Center,4,600
2022-04-08,MLD-01,Malard Central Health Center,2,300
2022-04-09,MLD-01,Malard Central Health Center,6,900
2022-04-10,MLD-01,Malard Central Health Center,6,900
2022-04-11,MLD-01,Malard Central Health Center,6,900
2022-04-12,MLD-01,Malard Central Health Center,6,900
2022-04-13,MLD-01,Malard Central Health Center,6,900
2022-04-14,MLD-01,Malard Central Health Center,4,600
2022-04-15,MLD-01,Malard Central Health Center,2,300
2022-04-16,MLD-01,Malard Central Health Center,6,900
2022-04-17,MLD-01,Malard Central Health Center,6,900
2022-04-18,MLD-01,Malard Central Health Center,6,900
2022-04-19,MLD-01,Malard Central Health Center,6,900
2022-04-20,MLD-01,Malard Central Health Center,6,900
2022-04-21,MLD-01,Malard Central Health Center,4,600
2022-04-22,MLD-01,Malard Central Health Center,2,300
2022-04-23,MLD-01,Malard Central Health Center,6,900
2022-04-24,MLD-01,Malard Central Health Center,6,900
2022-04-25,MLD-01,Malard Central Health Center,6,900
2022-04-26,MLD-01,Malard Central Health Center,6,900
2022-04-27,MLD-01,Malard Central Health Center,6,900
2022-04-28,MLD-01,Malard Central Health Center,4,600
2022-04-29,MLD-01,Malard Central Health Center,2,300
2022-04-30,MLD-01,Malard Central Health Center,6,900
2022-05-01,MLD-01,Malard Central Health Center,6,900
2022-05-02,MLD-01,Malard Central Health Center,3,450
2022-05-03,MLD-01,Malard Central Health Center,6,900
2022-05-04,MLD-01,Malard Central Health Center,6,900
2022-05-05,MLD-01,Malard Central Health Center,4,600
2022-05-06,MLD-01,Malard Central Health Center,2,300
2022-05-07,MLD-01,Malard Central Health Center,6,900
2022-05-08,MLD-01,Malard Central Health Center,6,900
2022-05-09,MLD-01,Malard Central Health Center,6,900
2022-05-10,MLD-01,Malard Central Health Center,6,900
2022-05-11,MLD-01,Malard Central Health Center,6,900
2022-05-12,MLD-01,Malard Central Health Center,4,600
2022-05-13,MLD-01,Malard Central Health Center,2,300
2022-05-14,MLD-01,Malard Central Health Center,6,900
2022-05-15,MLD-01,Malard Central Health Center,3,450
2022-05-16,MLD-01,Malard Central Health Center,6,900
2022-05-17,MLD-01,Malard Central Health Center,6,900
2022-05-18,MLD-01,Malard Central Health Center,6,900
2022-05-19,MLD-01,Malard Central Health Center,4,600
2022-05-20,MLD-01,Malard Central Health Center,2,300
2022-05-21,MLD-01,Malard Central Health Center,6,900
2022-05-22,MLD-01,Malard Central Health Center,6,900
2022-05-23,MLD-01,Malard Central Health Center,6,900
2022-05-24,MLD-01,Malard Central Health Center,6,900
2022-05-25,MLD-01,Malard Central Health Center,4,600
2022-05-26,MLD-01,Malard Central Health Center,4,600
2022-05-27,MLD-01,Malard Central Health Center,2,300
2022-05-28,MLD-01,Malard Central Health Center,6,900
2022-05-29,MLD-01,Malard Central Health Center,6,900
2022-05-30,MLD-01,Malard Central Health Center,6,900
2022-05-31,MLD-01,Malard Central Health Center,6,900
2022-06-01,MLD-01,Malard Central Health Center,6,900
2022-06-02,MLD-01,Malard Central Health Center,4,600
2022-06-03,MLD-01,Malard Central Health Center,2,300
2022-06-04,MLD-01,Malard Central Health Center,6,900
2022-06-05,MLD-01,Malard Central Health Center,6,900
2022-06-06,MLD-01,Malard Central Health Center,6,900
2022-06-07,MLD-01,Malard Central Health Center,6,900
2022-06-08,MLD-01,Malard Central Health Center,6,900
2022-06-09,MLD-01,Malard Central Health Center,4,600
2022-06-10,MLD-01,Malard Central Health Center,2,300
2022-06-11,MLD-01,Malard Central Health Center,6,900
2022-06-12,MLD-01,Malard Central Health Center,6,900
2022-06-13,MLD-01,Malard Central Health Center,4,600
2022-06-14,MLD-01,Malard Central Health Center,6,900
2022-06-15,MLD-01,Malard Central Health Center,6,900
2022-06-16,MLD-01,Malard Central Health Center,4,600
2022-06-17,MLD-01,Malard Central Health Center,2,300
2022-06-18,MLD-01,Malard Central Health Center,6,900
2022-06-19,MLD-01,Malard Central Health Center,3,450
2022-06-20,MLD-01,Malard Central Health Center,6,900
2022-06-21,MLD-01,Malard Central Health Center,6,900
2021-05-22,MLD-02,Sabashahr Health Center,2,300
2021-05-23,MLD-02,Sabashahr Health Center,2,300
2021-05-24,MLD-02,Sabashahr Health Center,3,450
2021-05-25,MLD-02,Sabashahr Health Center,3,450
2021-05-26,MLD-02,Sabashahr Health Center,3,450
2021-05-27,MLD-02,Sabashahr Health Center,2,300
2021-05-28,MLD-02,Sabashahr Health Center,1,150
2021-05-29,MLD-02,Sabashahr Health Center,3,450
2021-05-30,MLD-02,Sabashahr Health Center,3,450
2021-05-31,MLD-02,Sabashahr Health Center,3,450
2021-06-01,MLD-02,Sabashahr Health Center,3,450
2021-06-02,MLD-02,Sabashahr Health Center,3,450
2021-06-03,MLD-02,Sabashahr Health Center,3,450
2021-06-04,MLD-02,Sabashahr Health Center,1,150
2021-06-05,MLD-02,Sabashahr Health Center,4,600
2021-06-06,MLD-02,Sabashahr Health Center,4,600
2021-06-07,MLD-02,Sabashahr Health Center,4,600
2021-06-08,MLD-02,Sabashahr Health Center,4,600
2021-06-09,MLD-02,Sabashahr Health Center,4,600
2021-06-10,MLD-02,Sabashahr Health Center,3,450
2021-06-11,MLD-02,Sabashahr Health Center,2,300
2021-06-12,MLD-02,Sabashahr Health Center,4,600
2021-06-13,MLD-02,Sabashahr Health Center,4,600
2021-06-14,MLD-02,Sabashahr Health Center,4,600
2021-06-15,MLD-02,Sabashahr Health Center,4,600
2021-06-16,MLD-02,Sabashahr Health Center,5,750
2021-06-17,MLD-02,Sabashahr Health Center,3,450
2021-06-18,MLD-02,Sabashahr Health Center,2,300
2021-06-19,MLD-02,Sabashahr Health Center,5,750
2021-06-20,MLD-02,Sabashahr Health Center,5,750
2021-06-21,MLD-02,Sabashahr Health Center,5,750
2021-06-22,MLD-02,Sabashahr Health Center,5,750
2021-06-23,MLD-02,Sabashahr Health Center,5,750
2021-06-24,MLD-02,Sabashahr Health Center,4,600
2021-06-25,MLD-02,Sabashahr Health Center,2,300
2021-06-26,MLD-02,Sabashahr Health Center,5,750
2021-06-27,MLD-02,Sabashahr Health Center,5,750
2021-06-28,MLD-02,Sabashahr Health Center,6,900
2021-06-29,MLD-02,Sabashahr Health Center,6,900
2021-06-30,MLD-02,Sabashahr Health Center,6,900
2021-07-01,MLD-02,Sabashahr Health Center,4,600
2021-07-02,MLD-02,Sabashahr Health Center,2,300
2021-07-03,MLD-02,Sabashahr Health Center,6,900
2021-07-04,MLD-02,Sabashahr Health Center,6,900
2021-07-05,MLD-02,Sabashahr Health Center,6,900
2021-07-06,MLD-02,Sabashahr Health Center,3,450
2021-07-07,MLD-02,Sabashahr Health Center,6,900
2021-07-08,MLD-02,Sabashahr Health Center,4,600
2021-07-09,MLD-02,Sabashahr Health Center,2,300
2021-07-10,MLD-02,Sabashahr Health Center,6,900
2021-07-11,MLD-02,Sabashahr Health Center,6,900
2021-07-12,MLD-02,Sabashahr Health Center,6,900
2021-07-13,MLD-02,Sabashahr Health Center,6,900
2021-07-14,MLD-02,Sabashahr Health Center,6,900
2021-07-15,MLD-02,Sabashahr Health Center,4,600
2021-07-16,MLD-02,Sabashahr Health Center,2,300
2021-07-17,MLD-02,Sabashahr Health Center,6,900
2021-07-18,MLD-02,Sabashahr Health Center,5,750
2021-07-19,MLD-02,Sabashahr Health Center,6,900
2021-07-20,MLD-02,Sabashahr Health Center,6,900
2021-07-21,MLD-02,Sabashahr Health Center,6,900
2021-07-22,MLD-02,Sabashahr Health Center,4,600
2021-07-23,MLD-02,Sabashahr Health Center,2,300
2021-07-24,MLD-02,Sabashahr Health Center,6,900
2021-07-25,MLD-02,Sabashahr Health Center,6,900
2021-07-26,MLD-02,Sabashahr Health Center,6,900
2021-07-27,MLD-02,Sabashahr Health Center,3,450
2021-07-28,MLD-02,Sabashahr Health Center,6,900
2021-07-29,MLD-02,Sabashahr Health Center,4,600
2021-07-30,MLD-02,Sabashahr Health Center,2,300
2021-07-31,MLD-02,Sabashahr Health Center,6,900
2021-08-01,MLD-02,Sabashahr Health Center,6,900
2021-08-02,MLD-02,Sabashahr Health Center,6,900
2021-08-03,MLD-02,Sabashahr Health Center,6,900
2021-08-04,MLD-02,Sabashahr Health Center,6,900
2021-08-05,MLD-02,Sabashahr Health Center,4,600
2021-08-06,MLD-02,Sabashahr Health Center,2,300
2021-08-07,MLD-02,Sabashahr Health Center,6,900
2021-08-08,MLD-02,Sabashahr Health Center,6,900
2021-08-09,MLD-02,Sabashahr Health Center,6,900
2021-08-10,MLD-02,Sabashahr Health Center,6,900
2021-08-11,MLD-02,Sabashahr Health Center,6,900
2021-08-12,MLD-02,Sabashahr Health Center,4,600
2021-08-13,MLD-02,Sabashahr Health Center,2,300
2021-08-14,MLD-02,Sabashahr Health Center,6,900
2021-08-15,MLD-02,Sabashahr Health Center,6,900
2021-08-16,MLD-02,Sabashahr Health Center,6,900
2021-08-17,MLD-02,Sabashahr Health Center,6,900
2021-08-18,MLD-02,Sabashahr Health Center,6,900
2021-08-19,MLD-02,Sabashahr Health Center,4,600
2021-08-20,MLD-02,Sabashahr Health Center,2,300
2021-08-21,MLD-02,Sabashahr Health Center,6,900
2021-08-22,MLD-02,Sabashahr Health Center,6,900
2021-08-23,MLD-02,Sabashahr Health Center,6,900
2021-08-24,MLD-02,Sabashahr Health Center,6,900
2021-08-25,MLD-02,Sabashahr Health Center,6,900
2021-08-26,MLD-02,Sabashahr Health Center,4,600
2021-08-27,MLD-02,Sabashahr Health Center,2,300
2021-08-28,MLD-02,Sabashahr Health Center,6,900
2021-08-29,MLD-02,Sabashahr Health Center,6,900
2021-08-30,MLD-02,Sabashahr Health Center,6,900
2021-08-31,MLD-02,Sabashahr Health Center,6,900
2021-09-01,MLD-02,Sabashahr Health Center,6,900
2021-09-02,MLD-02,Sabashahr Health Center,4,600
2021-09-03,MLD-02,Sabashahr Health Center,2,300
2021-09-04,MLD-02,Sabashahr Health Center,6,900
2021-09-05,MLD-02,Sabashahr Health Center,6,900
2021-09-06,MLD-02,Sabashahr Health Center,6,900
2021-09-07,MLD-02,Sabashahr Health Center,6,900
2021-09-08,MLD-02,Sabashahr Health Center,6,900
2021-09-09,MLD-02,Sabashahr Health Center,4,600
2021-09-10,MLD-02,Sabashahr Health Center,2,300
2021-09-11,MLD-02,Sabashahr Health Center,6,900
2021-09-12,MLD-02,Sabashahr Health Center,6,900
2021-09-13,MLD-02,Sabashahr Health Center,6,900
