date,jalali_date,new_confirmed_cases,cumulative_confirmed_cases,cases_per_100k_7d_avg
2021-06-27,1400-04-06,12,185,2.979591836734694
2021-06-28,1400-04-07,20,205,3.5102040816326534
2021-06-29,1400-04-08,20,225,4.0
2021-06-30,1400-04-09,19,244,4.081632653061225
2021-07-01,1400-04-10,20,264,4.244897959183674
2021-07-02,1400-04-11,16,280,4.612244897959184
2021-07-03,1400-04-12,12,292,4.857142857142857
2021-07-04,1400-04-13,21,313,5.224489795918367
2021-07-05,1400-04-14,18,331,5.142857142857143
2021-07-06,1400-04-15,23,354,5.265306122448979
2021-07-07,1400-04-16,37,391,6.0
2021-07-08,1400-04-17,32,423,6.4897959183673475
2021-07-09,1400-04-18,30,453,7.0612244897959195
2021-07-10,1400-04-19,19,472,7.346938775510204
2021-07-11,1400-04-20,36,508,7.959183673469388
2021-07-12,1400-04-21,43,551,8.979591836734693
2021-07-13,1400-04-22,54,605,10.244897959183673
2021-07-14,1400-04-23,43,648,10.489795918367347
2021-07-15,1400-04-24,52,700,11.306122448979592
2021-07-16,1400-04-25,51,751,12.16326530612245
2021-07-17,1400-04-26,34,785,12.775510204081632
2021-07-18,1400-04-27,48,833,13.26530612244898
2021-07-19,1400-04-28,66,899,14.204081632653061
2021-07-20,1400-04-29,74,973,15.020408163265305
2021-07-21,1400-04-30,81,1054,16.571428571428573
2021-07-22,1400-04-31,65,1119,17.10204081632653
2021-07-23,1400-05-01,86,1205,18.53061224489796
2021-07-24,1400-05-02,41,1246,18.816326530612244
2021-07-25,1400-05-03,78,1324,20.040816326530614
2021-07-26,1400-05-04,91,1415,21.061224489795915
2021-07-27,1400-05-05,102,1517,22.20408163265306
2021-07-28,1400-05-06,105,1622,23.183673469387752
2021-07-29,1400-05-07,105,1727,24.816326530612248
2021-07-30,1400-05-08,112,1839,25.87755102040816
2021-07-31,1400-05-09,76,1915,27.30612244897959
2021-08-01,1400-05-10,126,2041,29.26530612244898
2021-08-02,1400-05-11,114,2155,30.204081632653057
2021-08-03,1400-05-12,113,2268,30.653061224489797
2021-08-04,1400-05-13,125,2393,31.46938775510204
2021-08-05,1400-05-14,142,2535,32.97959183673469
2021-08-06,1400-05-15,145,2680,34.3265306122449
2021-08-07,1400-05-16,60,2740,33.673469387755105
2021-08-08,1400-05-17,111,2851,33.06122448979592
2021-08-09,1400-05-18,151,3002,34.57142857142858
2021-08-10,1400-05-19,161,3163,36.53061224489796
2021-08-11,1400-05-20,126,3289,36.57142857142857
2021-08-12,1400-05-21,130,3419,36.08163265306123
2021-08-13,1400-05-22,147,3566,36.16326530612245
2021-08-14,1400-05-23,79,3645,36.93877551020408
2021-08-15,1400-05-24,128,3773,37.63265306122449
2021-08-16,1400-05-25,154,3927,37.755102040816325
2021-08-17,1400-05-26,138,4065,36.816326530612244
2021-08-18,1400-05-27,140,4205,37.38775510204082
2021-08-19,1400-05-28,129,4334,37.34693877551021
2021-08-20,1400-05-29,130,4464,36.6530612244898
2021-08-21,1400-05-30,74,4538,36.44897959183674
2021-08-22,1400-05-31,115,4653,35.91836734693877
2021-08-23,1400-06-01,123,4776,34.6530612244898
2021-08-24,1400-06-02,131,4907,34.36734693877551
2021-08-25,1400-06-03,150,5057,34.775510204081634
2021-08-26,1400-06-04,128,5185,34.73469387755102
2021-08-27,1400-06-05,114,5299,34.08163265306123
2021-08-28,1400-06-06,54,5353,33.26530612244898
2021-08-29,1400-06-07,127,5480,33.755102040816325
2021-08-30,1400-06-08,128,5608,33.95918367346939
2021-08-31,1400-06-09,118,5726,33.42857142857142
2021-09-01,1400-06-10,97,5823,31.26530612244898
2021-09-02,1400-06-11,100,5923,30.12244897959184
2021-09-03,1400-06-12,92,6015,29.224489795918366
2021-09-04,1400-06-13,61,6076,29.510204081632654
2021-09-05,1400-06-14,65,6141,26.979591836734695
2021-09-06,1400-06-15,85,6226,25.224489795918366
2021-09-07,1400-06-16,65,6291,23.061224489795915
2021-09-08,1400-06-17,75,6366,22.163265306122447
2021-09-09,1400-06-18,81,6447,21.38775510204082
2021-09-10,1400-06-19,66,6513,20.3265306122449
2021-09-11,1400-06-20,50,6563,19.877551020408163
2021-09-12,1400-06-21,54,6617,19.428571428571427
2021-09-13,1400-06-22,48,6665,17.918367346938776
2021-09-14,1400-06-23,64,6729,17.877551020408163
2021-09-15,1400-06-24,53,6782,16.979591836734695
2021-09-16,1400-06-25,55,6837,15.918367346938776
2021-09-17,1400-06-26,40,6877,14.857142857142858
2021-09-18,1400-06-27,19,6896,13.591836734693876
2021-09-19,1400-06-28,32,6928,12.693877551020408
2021-09-20,1400-06-29,49,6977,12.73469387755102
2021-09-21,1400-06-30,40,7017,11.755102040816327
2021-09-22,1400-06-31,25,7042,10.612244897959185
2021-09-23,1400-07-01,28,7070,9.510204081632653
2021-09-24,1400-07-02,35,7105,9.306122448979592
2021-09-25,1400-07-03,10,7115,8.938775510204081
2021-09-26,1400-07-04,19,7134,8.408163265306122
2021-09-27,1400-07-05,24,7158,7.387755102040816
2021-09-28,1400-07-06,28,7186,6.8979591836734695
2021-09-29,1400-07-07,18,7204,6.612244897959184
2021-09-30,1400-07-08,16,7220,6.122448979591836
2021-10-01,1400-07-09,20,7240,5.510204081632653
2021-10-02,1400-07-10,9,7249,5.469387755102041
2021-10-03,1400-07-11,11,7260,5.142857142857143
2021-10-04,1400-07-12,11,7271,4.612244897959184
2021-10-05,1400-07-13,11,7282,3.9183673469387754
2021-10-06,1400-07-14,10,7292,3.5918367346938775
2021-10-07,1400-07-15,10,7302,3.3469387755102042
2021-10-08,1400-07-16,14,7316,3.102040816326531
2021-10-09,1400-07-17,7,7323,3.020408163265306
2021-10-10,1400-07-18,8,7331,2.897959183673469
2021-10-11,1400-07-19,9,7340,2.816326530612245
2021-10-12,1400-07-20,11,7351,2.816326530612245
2021-10-13,1400-07-21,8,7359,2.7346938775510203
2021-10-14,1400-07-22,6,7365,2.5714285714285716
2021-10-15,1400-07-23,4,7369,2.1632653061224487
2021-10-16,1400-07-24,2,7371,1.9591836734693877
2021-10-17,1400-07-25,8,7379,1.9591836734693877
2021-10-18,1400-07-26,7,7386,1.8775510204081631
2021-10-19,1400-07-27,3,7389,1.5510204081632655
2021-10-20,1400-07-28,5,7394,1.4285714285714286
2021-10-21,1400-07-29,9,7403,1.5510204081632655
2021-10-22,1400-07-30,4,7407,1.5510204081632655
2021-10-23,1400-08-01,0,7407,1.469387755102041
2021-10-24,1400-08-02,3,7410,1.2653061224489797
2021-10-25,1400-08-03,3,7413,1.1020408163265307
2021-10-26,1400-08-04,8,7421,1.3061224489795917
2021-10-27,1400-08-05,1,7422,1.1428571428571428
2021-10-28,1400-08-06,1,7423,0.8163265306122448
2021-10-29,1400-08-07,6,7429,0.8979591836734694
2021-10-30,1400-08-08,4,7433,1.0612244897959184
2021-10-31,1400-08-09,2,7435,1.0204081632653061
2021-11-01,1400-08-10,2,7437,0.9795918367346939
2021-11-02,1400-08-11,2,7439,0.7346938775510204
2021-11-03,1400-08-12,0,7439,0.6938775510204082
2021-11-04,1400-08-13,4,7443,0.8163265306122448
2021-11-05,1400-08-14,3,7446,0.6938775510204082
2021-11-06,1400-08-15,0,7446,0.5306122448979592
2021-11-07,1400-08-16,1,7447,0.4897959183673469
2021-11-08,1400-08-17,3,7450,0.5306122448979592
2021-11-09,1400-08-18,1,7451,0.4897959183673469
2021-11-10,1400-08-19,7,7458,0.7755102040816327
2021-11-11,1400-08-20,5,7463,0.8163265306122448
2021-11-12,1400-08-21,4,7467,0.8571428571428571
2021-11-13,1400-08-22,2,7469,0.9387755102040816
2021-11-14,1400-08-23,2,7471,0.9795918367346939
2021-11-15,1400-08-24,5,7476,1.0612244897959184
2021-11-16,1400-08-25,3,7479,1.1428571428571428
2021-11-17,1400-08-26,2,7481,0.9387755102040816
2021-11-18,1400-08-27,3,7484,0.8571428571428571
2021-11-19,1400-08-28,2,7486,0.7755102040816327
2021-11-20,1400-08-29,5,7491,0.8979591836734694
2021-11-21,1400-08-30,3,7494,0.9387755102040816
2021-11-22,1400-09-01,5,7499,0.9387755102040816
2021-11-23,1400-09-02,3,7502,0.9387755102040816
2021-11-24,1400-09-03,3,7505,0.9795918367346939
2021-11-25,1400-09-04,5,7510,1.0612244897959184
2021-11-26,1400-09-05,4,7514,1.1428571428571428
2021-11-27,1400-09-06,3,7517,1.0612244897959184
2021-11-28,1400-09-07,4,7521,1.1020408163265307
2021-11-29,1400-09-08,4,7525,1.0612244897959184
2021-11-30,1400-09-09,3,7528,1.0612244897959184
2021-12-01,1400-09-10,8,7536,1.2653061224489797
2021-12-02,1400-09-11,7,7543,1.3469387755102042
2021-12-03,1400-09-12,6,7549,1.4285714285714286
2021-12-04,1400-09-13,0,7549,1.3061224489795917
2021-12-05,1400-09-14,4,7553,1.3061224489795917
2021-12-06,1400-09-15,5,7558,1.3469387755102042
2021-12-07,1400-09-16,6,7564,1.469387755102041
2021-12-08,1400-09-17,7,7571,1.4285714285714286
2021-12-09,1400-09-18,2,7573,1.2244897959183672
2021-12-10,1400-09-19,8,7581,1.3061224489795917
2021-12-11,1400-09-20,0,7581,1.3061224489795917
2021-12-12,1400-09-21,2,7583,1.2244897959183672
2021-12-13,1400-09-22,5,7588,1.2244897959183672
2021-12-14,1400-09-23,3,7591,1.1020408163265307
2021-12-15,1400-09-24,4,7595,0.9795918367346939
2021-12-16,1400-09-25,10,7605,1.3061224489795917
2021-12-17,1400-09-26,6,7611,1.2244897959183672
2021-12-18,1400-09-27,3,7614,1.3469387755102042
2021-12-19,1400-09-28,4,7618,1.4285714285714286
2021-12-20,1400-09-29,8,7626,1.5510204081632655
2021-12-21,1400-09-30,4,7630,1.5918367346938775
2021-12-22,1400-10-01,4,7634,1.5918367346938775
2021-12-23,1400-10-02,6,7640,1.4285714285714286
2021-12-24,1400-10-03,2,7642,1.2653061224489797
2021-12-25,1400-10-04,4,7646,1.3061224489795917
2021-12-26,1400-10-05,7,7653,1.4285714285714286
2021-12-27,1400-10-06,9,7662,1.469387755102041
2021-12-28,1400-10-07,11,7673,1.7551020408163267
2021-12-29,1400-10-08,5,7678,1.7959183673469388
2021-12-30,1400-10-09,12,7690,2.0408163265306123
2021-12-31,1400-10-10,16,7706,2.6122448979591835
2022-01-01,1400-10-11,14,7720,3.020408163265306
2022-01-02,1400-10-12,14,7734,3.306122448979592
2022-01-03,1400-10-13,12,7746,3.4285714285714284
2022-01-04,1400-10-14,13,7759,3.5102040816326534
2022-01-05,1400-10-15,12,7771,3.795918367346939
2022-01-06,1400-10-16,23,7794,4.244897959183674
2022-01-07,1400-10-17,7,7801,3.8775510204081636
2022-01-08,1400-10-18,12,7813,3.795918367346939
2022-01-09,1400-10-19,21,7834,4.081632653061225
2022-01-10,1400-10-20,32,7866,4.897959183673469
2022-01-11,1400-10-21,27,7893,5.469387755102041
2022-01-12,1400-10-22,30,7923,6.204081632653062
2022-01-13,1400-10-23,38,7961,6.816326530612245
2022-01-14,1400-10-24,38,7999,8.081632653061225
2022-01-15,1400-10-25,23,8022,8.53061224489796
2022-01-16,1400-10-26,49,8071,9.673469387755102
2022-01-17,1400-10-27,42,8113,10.081632653061225
2022-01-18,1400-10-28,60,8173,11.428571428571429
2022-01-19,1400-10-29,57,8230,12.530612244897958
2022-01-20,1400-10-30,62,8292,13.510204081632654
2022-01-21,1400-11-01,52,8344,14.081632653061224
2022-01-22,1400-11-02,58,8402,15.510204081632654
2022-01-23,1400-11-03,80,8482,16.77551020408163
2022-01-24,1400-11-04,89,8571,18.69387755102041
2022-01-25,1400-11-05,107,8678,20.612244897959183
2022-01-26,1400-11-06,100,8778,22.367346938775512
2022-01-27,1400-11-07,106,8884,24.163265306122447
2022-01-28,1400-11-08,104,8988,26.285714285714285
2022-01-29,1400-11-09,57,9045,26.244897959183678
2022-01-30,1400-11-10,128,9173,28.204081632653057
2022-01-31,1400-11-11,132,9305,29.95918367346939
2022-02-01,1400-11-12,121,9426,30.53061224489796
2022-02-02,1400-11-13,152,9578,32.6530612244898
2022-02-03,1400-11-14,174,9752,35.42857142857142
2022-02-04,1400-11-15,150,9902,37.30612244897959
2022-02-05,1400-11-16,92,9994,38.734693877551024
2022-02-06,1400-11-17,139,10133,39.18367346938775
2022-02-07,1400-11-18,169,10302,40.69387755102041
2022-02-08,1400-11-19,184,10486,43.265306122448976
2022-02-09,1400-11-20,185,10671,44.61224489795918
2022-02-10,1400-11-21,208,10879,46.0
2022-02-11,1400-11-22,173,11052,46.938775510204074
2022-02-12,1400-11-23,106,11158,47.51020408163265
2022-02-13,1400-11-24,180,11338,49.18367346938775
2022-02-14,1400-11-25,201,11539,50.48979591836735
2022-02-15,1400-11-26,215,11754,51.75510204081632
2022-02-16,1400-11-27,234,11988,53.755102040816325
2022-02-17,1400-11-28,191,12179,53.06122448979592
2022-02-18,1400-11-29,209,12388,54.53061224489796
2022-02-19,1400-11-30,111,12499,54.734693877551024
2022-02-20,1400-12-01,175,12674,54.53061224489796
2022-02-21,1400-12-02,208,12882,54.81632653061225
2022-02-22,1400-12-03,237,13119,55.714285714285715
2022-02-23,1400-12-04,220,13339,55.14285714285714
2022-02-24,1400-12-05,193,13532,55.22448979591837
2022-02-25,1400-12-06,203,13735,54.979591836734684
2022-02-26,1400-12-07,116,13851,55.183673469387756
2022-02-27,1400-12-08,164,14015,54.734693877551024
2022-02-28,1400-12-09,186,14201,53.836734693877546
2022-03-01,1400-12-10,165,14366,50.89795918367347
2022-03-02,1400-12-11,164,14530,48.61224489795918
2022-03-03,1400-12-12,159,14689,47.224489795918366
2022-03-04,1400-12-13,166,14855,45.714285714285715
2022-03-05,1400-12-14,83,14938,44.367346938775505
2022-03-06,1400-12-15,129,15067,42.938775510204074
2022-03-07,1400-12-16,147,15214,41.34693877551021
2022-03-08,1400-12-17,129,15343,39.87755102040816
2022-03-09,1400-12-18,124,15467,38.244897959183675
2022-03-10,1400-12-19,103,15570,35.95918367346939
2022-03-11,1400-12-20,96,15666,33.10204081632653
2022-03-12,1400-12-21,66,15732,32.40816326530612
2022-03-13,1400-12-22,84,15816,30.571428571428573
2022-03-14,1400-12-23,94,15910,28.408163265306122
2022-03-15,1400-12-24,94,16004,26.979591836734695
2022-03-16,1400-12-25,89,16093,25.551020408163264
2022-03-17,1400-12-26,76,16169,24.448979591836732
2022-03-18,1400-12-27,53,16222,22.693877551020407
2022-03-19,1400-12-28,39,16261,21.591836734693874
2022-03-20,1400-12-29,42,16303,19.877551020408163
2022-03-21,1401-01-01,46,16349,17.918367346938776
2022-03-22,1401-01-02,59,16408,16.489795918367346
2022-03-23,1401-01-03,42,16450,14.571428571428573
2022-03-24,1401-01-04,40,16490,13.102040816326529
2022-03-25,1401-01-05,42,16532,12.653061224489795
2022-03-26,1401-01-06,21,16553,11.918367346938776
2022-03-27,1401-01-07,30,16583,11.428571428571429
2022-03-28,1401-01-08,29,16612,10.734693877551019
2022-03-29,1401-01-09,28,16640,9.46938775510204
2022-03-30,1401-01-10,20,16660,8.571428571428571
2022-03-31,1401-01-11,26,16686,8.0
2022-04-01,1401-01-12,12,16698,6.775510204081632
2022-04-02,1401-01-13,9,16707,6.2857142857142865
2022-04-03,1401-01-14,20,16727,5.877551020408164
2022-04-04,1401-01-15,11,16738,5.142857142857143
2022-04-05,1401-01-16,11,16749,4.448979591836735
2022-04-06,1401-01-17,18,16767,4.36734693877551
2022-04-07,1401-01-18,10,16777,3.7142857142857144
2022-04-08,1401-01-19,15,16792,3.8367346938775513
2022-04-09,1401-01-20,7,16799,3.7551020408163263
2022-04-10,1401-01-21,14,16813,3.5102040816326534
2022-04-11,1401-01-22,16,16829,3.7142857142857144
2022-04-12,1401-01-23,15,16844,3.8775510204081636
2022-04-13,1401-01-24,20,16864,3.959183673469388
2022-04-14,1401-01-25,18,16882,4.285714285714286
2022-04-15,1401-01-26,19,16901,4.448979591836735
2022-04-16,1401-01-27,14,16915,4.73469387755102
2022-04-17,1401-01-28,23,16938,5.1020408163265305
2022-04-18,1401-01-29,17,16955,5.142857142857143
2022-04-19,1401-01-30,15,16970,5.142857142857143
2022-04-20,1401-01-31,20,16990,5.142857142857143
2022-04-21,1401-02-01,21,17011,5.265306122448979
2022-04-22,1401-02-02,20,17031,5.306122448979592
2022-04-23,1401-02-03,13,17044,5.265306122448979
2022-04-24,1401-02-04,20,17064,5.142857142857143
2022-04-25,1401-02-05,31,17095,5.714285714285714
2022-04-26,1401-02-06,28,17123,6.244897959183674
2022-04-27,1401-02-07,34,17157,6.816326530612245
2022-04-28,1401-02-08,31,17188,7.224489795918368
2022-04-29,1401-02-09,28,17216,7.551020408163264
2022-04-30,1401-02-10,16,17232,7.673469387755103
2022-05-01,1401-02-11,31,17263,8.122448979591836
2022-05-02,1401-02-12,40,17303,8.489795918367347
2022-05-03,1401-02-13,40,17343,8.979591836734693
2022-05-04,1401-02-14,32,17375,8.89795918367347
2022-05-05,1401-02-15,36,17411,9.10204081632653
2022-05-06,1401-02-16,44,17455,9.755102040816327
2022-05-07,1401-02-17,15,17470,9.714285714285714
2022-05-08,1401-02-18,33,17503,9.795918367346937
2022-05-09,1401-02-19,53,17556,10.326530612244898
2022-05-10,1401-02-20,45,17601,10.530612244897958
2022-05-11,1401-02-21,35,17636,10.653061224489795
2022-05-12,1401-02-22,39,17675,10.775510204081634
2022-05-13,1401-02-23,44,17719,10.775510204081634
2022-05-14,1401-02-24,11,17730,10.612244897959185
2022-05-15,1401-02-25,26,17756,10.326530612244898
2022-05-16,1401-02-26,30,17786,9.387755102040815
2022-05-17,1401-02-27,31,17817,8.816326530612246
2022-05-18,1401-02-28,27,17844,8.489795918367347
2022-05-19,1401-02-29,24,17868,7.877551020408164
2022-05-20,1401-02-30,29,17897,7.265306122448979
2022-05-21,1401-02-31,14,17911,7.387755102040816
2022-05-22,1401-03-01,12,17923,6.816326530612245
2022-05-23,1401-03-02,19,17942,6.36734693877551
2022-05-24,1401-03-03,20,17962,5.918367346938776
2022-05-25,1401-03-04,26,17988,5.877551020408164
2022-05-26,1401-03-05,19,18007,5.673469387755102
2022-05-27,1401-03-06,18,18025,5.224489795918367
2022-05-28,1401-03-07,8,18033,4.979591836734693
2022-05-29,1401-03-08,14,18047,5.061224489795919
2022-05-30,1401-03-09,15,18062,4.897959183673469
2022-05-31,1401-03-10,12,18074,4.571428571428571
2022-06-01,1401-03-11,13,18087,4.040816326530613
2022-06-02,1401-03-12,9,18096,3.6326530612244894
2022-06-03,1401-03-13,10,18106,3.306122448979592
2022-06-04,1401-03-14,6,18112,3.2244897959183674
2022-06-05,1401-03-15,5,18117,2.857142857142857
2022-06-06,1401-03-16,9,18126,2.6122448979591835
2022-06-07,1401-03-17,10,18136,2.5306122448979593
2022-06-08,1401-03-18,6,18142,2.2448979591836733
2022-06-09,1401-03-19,3,18145,2.0
2022-06-10,1401-03-20,4,18149,1.7551020408163267
2022-06-11,1401-03-21,3,18152,1.6326530612244896
2022-06-12,1401-03-22,2,18154,1.510204081632653
2022-06-13,1401-03-23,5,18159,1.3469387755102042
2022-06-14,1401-03-24,6,18165,1.183673469387755
2022-06-15,1401-03-25,0,18165,0.9387755102040816
2022-06-16,1401-03-26,3,18168,0.9387755102040816
2022-06-17,1401-03-27,2,18170,0.8571428571428571
2022-06-18,1401-03-28,2,18172,0.8163265306122448
2022-06-19,1401-03-29,3,18175,0.8571428571428571
2022-06-20,1401-03-30,4,18179,0.8163265306122448
2022-06-21,1401-03-31,0,18179,0.5714285714285714
